"COD_INE";"ID_REL";"COD_GEO";"COD_PROV";"PROVINCIA";"NOMBRE_ACTUAL";"POBLACION_MUNI";"SUPERFICIE";"PERIMETRO";"COD_INE_CAPITAL";"CAPITAL";"POBLACION_CAPITAL";"HOJA_MTN25_ETRS89";"LONGITUD_ETRS89";"LATITUD_ETRS89";"ORIGENCOOR";"ALTITUD";"ORIGENALTITUD"
"01902000000";"1019020";"01305";"01";"Araba/Álava";"Lantarón";899;6748.96;63204.00;"01902000401";"Comunión/Komunioi";"89";"0137-4";-2.96;42.71;"Mapa";482.00;"MDT5"
"02001000000";"1020019";"02010";"02";"Albacete";"Abengibre";748;3076.92;25257.00;"02001000101";"Abengibre";"748";"0743-4";-1.54;39.21;"Mapa";634.00;"MDT5"
"02002000000";"1020024";"02020";"02";"Albacete";"Alatoz";555;6385.51;37232.00;"02002000101";"Alatoz";"544";"0767-1";-1.36;39.09;"Mapa";858.00;"MDT5"
"02003000000";"1020030";"02001";"02";"Albacete";"Albacete";172816;112702.38;249581.00;"02003000201";"Albacete";"166065";"0790-2";-1.85;38.99;"Mapa";681.00;"MDT5"
"02004000000";"1020045";"02030";"02";"Albacete";"Albatana";698;3052.25;22578.00;"02004000101";"Albatana";"690";"0843-4";-1.52;38.57;"Mapa";582.00;"MDT5"
"02005000000";"1020058";"02040";"02";"Albacete";"Alborea";697;7205.18;36259.00;"02005000101";"Alborea";"695";"0744-1";-1.39;39.27;"Mapa";706.00;"MDT5"
"02006000000";"1020061";"02050";"02";"Albacete";"Alcadozo";662;9958.70;53730.00;"02006000101";"Alcadozo";"595";"0842-2";-1.98;38.64;"Mapa";925.00;"MDT5"
"02007000000";"1020077";"02060";"02";"Albacete";"Alcalá del Júcar";1202;14682.44;51494.00;"02007000101";"Alcalá del Júcar";"639";"0744-3";-1.42;39.19;"Mapa";547.00;"MDT5"
"02008000000";"1020083";"02070";"02";"Albacete";"Alcaraz";1414;37053.31;289056.00;"02008000101";"Alcaraz";"1155";"0841-1";-2.49;38.66;"Mapa";953.00;"MDT5"
"02009000000";"1020096";"02080";"02";"Albacete";"Almansa";24566;53191.10;93239.00;"02009000101";"Almansa";"24098";"0793-3";-1.09;38.86;"Mapa";687.00;"MDT5"
"02010000000";"1020100";"02090";"02";"Albacete";"Alpera";2290;17847.27;56652.00;"02010000101";"Alpera";"2268";"0792-2";-1.23;38.95;"Mapa";852.00;"MDT5"
"02011000000";"1020117";"02100";"02";"Albacete";"Ayna";672;14658.96;65701.00;"02011000101";"Ayna";"483";"0842-3";-2.07;38.55;"Mapa";696.00;"MDT5"
"02012000000";"1020122";"02110";"02";"Albacete";"Balazote";2350;6515.37;31749.00;"02012000101";"Balazote";"2325";"0790-3";-2.15;38.88;"Mapa";771.00;"MDT5"
"02013000000";"1020138";"02120";"02";"Albacete";"Balsa de Ves";136;7634.92;39452.00;"02013000101";"Balsa de Ves";"92";"0744-2";-1.19;39.26;"Mapa";751.00;"MDT5"
"02014000000";"1020143";"02130";"02";"Albacete";"El Ballestero";414;13869.36;49399.00;"02014000101";"El Ballestero";"404";"0789-3";-2.45;38.84;"Mapa";1027.00;"MDT5"
"02015000000";"1020156";"02140";"02";"Albacete";"Barrax";1872;18983.33;52801.00;"02015000101";"Barrax";"1852";"0764-4";-2.20;39.04;"Mapa";733.00;"MDT5"
"02016000000";"1020169";"02150";"02";"Albacete";"Bienservida";615;9073.43;56309.00;"02016000101";"Bienservida";"611";"0840-4";-2.61;38.51;"Mapa";898.00;"MDT5"
"02017000000";"1020175";"02160";"02";"Albacete";"Bogarra";908;16601.46;77106.00;"02017000201";"Bogarra";"672";"0841-4";-2.21;38.58;"Mapa";844.00;"MDT5"
"02018000000";"1020181";"02170";"02";"Albacete";"Bonete";1103;12505.52;55720.00;"02018000101";"Bonete";"1093";"0792-4";-1.34;38.86;"Mapa";886.00;"MDT5"
"02019000000";"1020194";"02180";"02";"Albacete";"El Bonillo";2852;50266.00;154331.00;"02019000101";"El Bonillo";"2828";"0788-2";-2.54;38.95;"Mapa";1062.00;"MDT5"
"02020000000";"1020208";"02190";"02";"Albacete";"Carcelén";521;7536.37;38287.00;"02020000101";"Carcelén";"488";"0767-2";-1.30;39.10;"Mapa";911.00;"MDT5"
"02021000000";"1020215";"02200";"02";"Albacete";"Casas de Juan Núñez";1291;8898.27;42030.00;"02021000101";"Casas de Juan Núñez";"1277";"0766-2";-1.55;39.10;"Mapa";704.00;"MDT5"
"02022000000";"1020220";"02210";"02";"Albacete";"Casas de Lázaro";358;11231.67;70760.00;"02022000201";"Casas de Lázaro";"262";"0815-2";-2.23;38.77;"Mapa";942.00;"MDT5"
"02023000000";"1020236";"02220";"02";"Albacete";"Casas de Ves";628;12509.46;67921.00;"02023000101";"Casas de Ves";"628";"0744-2";-1.33;39.25;"Mapa";707.00;"MDT5"
"02024000000";"1020241";"02230";"02";"Albacete";"Casas-Ibáñez";4558;10321.97;56015.00;"02024000101";"Casas-Ibáñez";"4548";"0744-1";-1.47;39.28;"Mapa";708.00;"MDT5"
"02025000000";"1020254";"02240";"02";"Albacete";"Caudete";10010;14160.76;49636.00;"02025000101";"Caudete";"9557";"0819-4";-0.98;38.70;"Mapa";554.00;"MDT5"
"02026000000";"1020267";"02250";"02";"Albacete";"Cenizate";1192;6326.01;35204.00;"02026000101";"Cenizate";"1192";"0743-2";-1.66;39.30;"Mapa";706.00;"MDT5"
"02027000000";"1020273";"02260";"02";"Albacete";"Corral-Rubio";342;9475.56;42347.00;"02027000101";"Corral-Rubio";"314";"0792-3";-1.46;38.83;"Mapa";870.00;"MDT5"
"02028000000";"1020289";"02270";"02";"Albacete";"Cotillas";130;1446.92;15802.00;"02028000201";"Cotillas";"101";"0866-1";-2.50;38.43;"Mapa";947.00;"MDT5"
"02029000000";"1020292";"02280";"02";"Albacete";"Chinchilla de Monte-Aragón";4213;67927.33;163946.00;"02029000201";"Chinchilla de Monte-Aragón";"3205";"0791-1";-1.72;38.92;"Mapa";907.00;"MDT5"
"02030000000";"1020306";"02290";"02";"Albacete";"Elche de la Sierra";3666;23949.41;84011.00;"02030000101";"Elche de la Sierra";"3300";"0867-1";-2.04;38.44;"Mapa";630.00;"MDT5"
"02031000000";"1020313";"02300";"02";"Albacete";"Férez";678;12614.15;56948.00;"02031000101";"Férez";"653";"0867-4";-2.00;38.35;"Mapa";682.00;"MDT5"
"02032000000";"1020328";"02310";"02";"Albacete";"Fuensanta";313;2395.64;26368.00;"02032000101";"Fuensanta";"309";"0742-3";-2.06;39.24;"Mapa";693.00;"MDT5"
"02033000000";"1020334";"02320";"02";"Albacete";"Fuente-Álamo";2531;13339.01;45577.00;"02033000101";"Fuente-Álamo";"2472";"0818-3";-1.43;38.69;"Mapa";820.00;"MDT5"
"02034000000";"1020349";"02330";"02";"Albacete";"Fuentealbilla";1843;10829.37;64740.00;"02034000301";"Fuentealbilla";"1638";"0743-2";-1.54;39.26;"Mapa";670.00;"MDT5"
"02035000000";"1020352";"02340";"02";"Albacete";"La Gineta";2457;13676.75;49650.00;"02035000101";"La Gineta";"2249";"0765-2";-1.99;39.11;"Mapa";691.00;"MDT5"
"02036000000";"1020365";"02350";"02";"Albacete";"Golosalvo";110;2817.66;24505.00;"02036000101";"Golosalvo";"110";"0743-4";-1.63;39.23;"Mapa";740.00;"MDT5"
"02037000000";"1020371";"02360";"02";"Albacete";"Hellín";30184;78118.87;149825.00;"02037000501";"Hellín";"24961";"0843-3";-1.70;38.51;"Mapa";570.00;"MDT5"
"02038000000";"1020387";"02370";"02";"Albacete";"La Herrera";341;6342.58;42320.00;"02038000201";"La Herrera";"305";"0790-1";-2.12;38.96;"Mapa";714.00;"MDT5"
"02039000000";"1020390";"02380";"02";"Albacete";"Higueruela";1196;20545.49;86388.00;"02039000301";"Higueruela";"1168";"0792-1";-1.44;38.96;"Mapa";1041.00;"MDT5"
"02040000000";"1020404";"02390";"02";"Albacete";"Hoya-Gonzalo";643;11457.49;48066.00;"02040000101";"Hoya-Gonzalo";"641";"0791-2";-1.55;38.95;"Mapa";929.00;"MDT5"
"02041000000";"1020411";"02400";"02";"Albacete";"Jorquera";378;6797.07;57182.00;"02041000401";"Jorquera";"302";"0743-4";-1.52;39.17;"Mapa";624.00;"MDT5"
"02042000000";"1020426";"02410";"02";"Albacete";"Letur";948;26356.06;81881.00;"02042000302";"Letur";"274";"0867-3";-2.10;38.36;"Mapa";735.00;"MDT5"
"02043000000";"1020432";"02420";"02";"Albacete";"Lezuza";1412;36090.35;86191.00;"02043000101";"Lezuza";"857";"0789-1";-2.35;38.94;"Mapa";913.00;"MDT5"
"02044000000";"1020447";"02430";"02";"Albacete";"Liétor";1240;31178.91;78803.00;"02044000501";"Liétor";"1170";"0842-4";-1.95;38.54;"Mapa";641.00;"MDT5"
"02045000000";"1020450";"02440";"02";"Albacete";"Madrigueras";4647;7334.55;35851.00;"02045000101";"Madrigueras";"4635";"0743-3";-1.79;39.23;"Mapa";688.00;"MDT5"
"02046000000";"1020463";"02450";"02";"Albacete";"Mahora";1360;10814.91;48081.00;"02046000101";"Mahora";"1342";"0743-3";-1.72;39.21;"Mapa";663.00;"MDT5"
"02047000000";"1020479";"02460";"02";"Albacete";"Masegoso";115;10387.02;42914.00;"02047000301";"Masegoso";"36";"0815-4";-2.31;38.71;"Mapa";1108.00;"MDT5"
"02048000000";"1020485";"02470";"02";"Albacete";"Minaya";1538;6983.12;44098.00;"02048000101";"Minaya";"1524";"0741-2";-2.31;39.27;"Mapa";723.00;"MDT5"
"02049000000";"1020498";"02480";"02";"Albacete";"Molinicos";863;14358.82;71840.00;"02049001101";"Molinicos";"430";"0866-2";-2.23;38.46;"Mapa";851.00;"MDT5"
"02050000000";"1020501";"02490";"02";"Albacete";"Montalvos";102;2477.93;23450.00;"02050000101";"Montalvos";"97";"0765-1";-2.02;39.16;"Mapa";709.00;"MDT5"
"02051000000";"1020518";"02500";"02";"Albacete";"Montealegre del Castillo";2057;17779.34;54887.00;"02051000101";"Montealegre del Castillo";"2034";"0818-2";-1.32;38.78;"Mapa";810.00;"MDT5"
"02052000000";"1020523";"02510";"02";"Albacete";"Motilleja";549;2382.44;24700.00;"02052000101";"Motilleja";"548";"0743-3";-1.79;39.17;"Mapa";676.00;"MDT5"
"02053000000";"1020539";"02520";"02";"Albacete";"Munera";3572;22942.76;58755.00;"02053000101";"Munera";"3562";"0764-3";-2.48;39.03;"Mapa";929.00;"MDT5"
"02054000000";"1020544";"02530";"02";"Albacete";"Navas de Jorquera";523;4225.97;26041.00;"02054000101";"Navas de Jorquera";"521";"0743-1";-1.71;39.28;"Mapa";708.00;"MDT5"
"02055000000";"1020557";"02540";"02";"Albacete";"Nerpio";1277;43578.12;98049.00;"02055000901";"Nerpio";"718";"0909-2";-2.30;38.14;"Mapa";1085.00;"MDT5"
