"Province";"Name";"Population";"Longitude";"Latitude";"Autonomous_Community"
"Alacant/Alicante";"Benejúzar";5372;-0.83;38.07;"País Vasco/Euskadi"
"Alacant/Alicante";"Benferri";1923;-0.96;38.14;"País Vasco/Euskadi"
"Alacant/Alicante";"Beniarbeig";1919;-0.00130364;38.82;"País Vasco/Euskadi"
"Alacant/Alicante";"Beniardá";183;-0.21;38.68;"País Vasco/Euskadi"
"Alacant/Alicante";"Beniarrés";1137;-0.37;38.82;"País Vasco/Euskadi"
"Alacant/Alicante";"Benigembla";433;-0.1;38.75;"País Vasco/Euskadi"
"Alacant/Alicante";"Benidoleig";1080;-0.03;38.79;"País Vasco/Euskadi"
"Alacant/Alicante";"Benidorm";66831;-0.13;38.53;"País Vasco/Euskadi"
"Alacant/Alicante";"Benifallim";111;-0.39;38.66;"País Vasco/Euskadi"
"Alacant/Alicante";"Benifato";148;-0.22;38.67;"País Vasco/Euskadi"
"Alacant/Alicante";"Benijófar";3290;-0.73;38.08;"País Vasco/Euskadi"
"Alacant/Alicante";"Benilloba";755;-0.39;38.69;"País Vasco/Euskadi"
"Alacant/Alicante";"Benillup";102;-0.37;38.75;"País Vasco/Euskadi"
"Alacant/Alicante";"Benimantell";495;-0.2;38.67;"País Vasco/Euskadi"
"Alacant/Alicante";"Benimarfull";418;-0.39;38.77;"País Vasco/Euskadi"
"Alacant/Alicante";"Benimassot";99;-0.29;38.74;"País Vasco/Euskadi"
"Alacant/Alicante";"Benimeli";391;-0.04;38.82;"País Vasco/Euskadi"
"Alacant/Alicante";"Benissa";10879;0.05;38.71;"País Vasco/Euskadi"
"Alacant/Alicante";"Benitachell/el Poble Nou de Benitatxell";4020;0.14;38.73;"País Vasco/Euskadi"
"Alacant/Alicante";"Biar";3650;-0.76;38.62;"País Vasco/Euskadi"
"Alacant/Alicante";"Bigastro";6656;-0.89;38.06;"País Vasco/Euskadi"
"Alacant/Alicante";"Bolulla";414;-0.11;38.67;"País Vasco/Euskadi"
"Alacant/Alicante";"Busot";2904;-0.42;38.48;"País Vasco/Euskadi"
"Alacant/Alicante";"Calp";20804;0.04;38.64;"País Vasco/Euskadi"
"Alacant/Alicante";"Callosa d'en Sarrià";7223;-0.12;38.65;"País Vasco/Euskadi"
"Alacant/Alicante";"Callosa de Segura";18625;-0.87;38.12;"País Vasco/Euskadi"
"Alacant/Alicante";"el Campello";27604;-0.4;38.42;"País Vasco/Euskadi"
"Alacant/Alicante";"Campo de Mirra/el Camp de Mirra";436;-0.77;38.68;"País Vasco/Euskadi"
"Alacant/Alicante";"Cañada";1242;-0.8;38.67;"País Vasco/Euskadi"
"Alacant/Alicante";"Castalla";9876;-0.67;38.59;"País Vasco/Euskadi"
"Alacant/Alicante";"Castell de Castells";436;-0.19;38.72;"País Vasco/Euskadi"
"Alacant/Alicante";"Catral";8620;-0.8;38.15;"País Vasco/Euskadi"
"Alacant/Alicante";"Cocentaina";11461;-0.44;38.74;"País Vasco/Euskadi"
"Alacant/Alicante";"Confrides";221;-0.26;38.68;"País Vasco/Euskadi"
"Alacant/Alicante";"Cox";7192;-0.88;38.13;"País Vasco/Euskadi"
"Alacant/Alicante";"Crevillent";28836;-0.8;38.24;"País Vasco/Euskadi"
"Alacant/Alicante";"Quatretondeta";109;-0.31;38.72;"País Vasco/Euskadi"
"Alacant/Alicante";"Daya Nueva";1684;-0.76;38.11;"País Vasco/Euskadi"
"Alacant/Alicante";"Daya Vieja";713;-0.73;38.1;"País Vasco/Euskadi"
"Alacant/Alicante";"Dénia";41568;0.1;38.84;"País Vasco/Euskadi"
"Alacant/Alicante";"Dolores";7302;-0.76;38.13;"País Vasco/Euskadi"
"Alacant/Alicante";"Elche/Elx";228675;-0.69;38.26;"País Vasco/Euskadi"
"Alacant/Alicante";"Elda";52620;-0.79;38.47;"País Vasco/Euskadi"
"Alacant/Alicante";"Facheca";101;-0.26;38.73;"País Vasco/Euskadi"
"Alacant/Alicante";"Famorca";57;-0.24;38.73;"País Vasco/Euskadi"
"Alacant/Alicante";"Finestrat";6292;-0.21;38.56;"País Vasco/Euskadi"
